label,uid,task_id,adv_id,creat_type_cd,adv_prim_id,dev_id,inter_type_cd,slot_id,spread_app_id,tags,app_first_class,app_second_class,age,city,city_rank,device_name,device_size,career,gender,net_type,residence,his_app_size,his_on_shelf_time,app_score,emui_dev,list_time,device_price,up_life_duration,up_membership_grade,membership_life_duration,consume_purchase,communication_onlinerate,communication_avgonline_30d,indu_name,pt_d
0,2218775,1175,4325,3,210,70,4,12,88,40,4,25,6,217,3,29,141,3,2,3,21,16,3,2,20,9,3,-1,-1,-1,2,5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,27,3
0,1337269,1019,5158,3,180,60,4,13,83,41,2,26,6,349,3,43,156,9,2,2,41,-1,-1,1,18,17,2,-1,-1,-1,2,8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,10,24,3
0,1863260,3577,5884,7,207,17,5,16,13,37,4,21,2,272,4,29,141,4,4,2,12,4,3,2,20,9,3,-1,-1,-1,2,5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,17,3
0,1784114,3920,1101,7,169,15,5,21,46,39,4,17,7,223,4,80,156,9,2,2,37,6,3,2,14,7,1,-1,-1,-1,2,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,10,36,3
0,2013228,2748,2741,6,132,60,3,16,78,23,2,23,6,103,4,93,141,4,2,2,39,-1,-1,1,20,4,5,18,-1,-1,5,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,47,3
0,2003491,2205,3989,6,132,60,3,18,78,23,2,23,6,181,3,20,193,9,2,3,20,-1,-1,1,20,15,4,14,-1,-1,2,-1,4,47,3
0,1275879,4891,2110,7,156,56,5,11,58,37,4,21,5,406,5,32,291,4,2,2,21,14,3,2,20,4,5,16,-1,-1,2,0^1^2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,13,17,3
0,1911216,1555,5813,7,185,60,5,13,63,42,2,17,5,252,3,99,141,4,2,2,12,-1,-1,1,14,12,2,-1,-1,-1,2,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,24,3
0,1589114,2991,4835,6,132,60,3,21,78,23,2,23,4,193,5,87,117,9,4,2,20,-1,-1,1,28,5,4,18,-1,-1,2,0^1^2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,13,47,3
1,1968019,5602,6503,7,207,17,5,13,13,37,4,21,4,418,3,65,141,4,2,2,37,4,3,2,14,10,2,18,-1,-1,10,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,17,3
0,1118374,1993,5405,7,207,17,5,13,13,37,4,21,5,444,3,35,117,4,2,2,15,4,3,2,20,15,3,-1,-1,-1,2,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,17,3
0,1539820,1329,1625,7,133,37,5,11,34,13,4,25,5,221,5,104,141,4,2,2,12,17,3,2,27,14,5,20,1,-1,2,2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,12,17,3
0,1022562,1847,6428,7,178,17,5,12,70,39,4,17,1,297,3,46,141,4,3,2,37,2,3,2,14,10,3,2,-1,-1,2,3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,10,36,3
0,2218088,4585,3138,7,168,37,5,12,44,40,4,25,7,262,5,64,156,9,4,2,46,9,3,2,14,13,2,-1,-1,-1,2,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,17,3
0,1662906,5747,3041,6,132,60,3,19,78,23,2,23,3,262,5,25,141,4,4,2,46,-1,-1,1,12,9,4,20,-1,-1,2,2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,12,47,3
0,1699663,2112,6869,6,207,17,5,18,13,37,4,21,6,437,5,52,193,4,2,2,28,4,3,2,17,14,4,-1,-1,-1,2,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,17,3
0,1940253,1401,1481,7,168,37,5,14,44,40,4,25,4,194,3,104,141,4,2,2,42,9,3,2,27,14,5,14,-1,-1,2,0^1^2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,12,17,3
0,1422635,1555,5813,7,185,60,5,19,63,42,2,17,6,160,3,82,117,9,2,2,13,-1,-1,1,20,9,3,9,-1,-1,2,8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,9,24,3
0,1888364,5199,4772,7,207,17,5,11,13,37,4,21,6,441,4,38,162,4,2,2,15,4,3,2,20,4,4,20,1,-1,8,0^1^2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,12,17,3
0,1613385,3994,1286,7,178,17,5,12,70,39,4,17,7,421,3,35,117,9,2,2,15,2,3,2,20,15,3,-1,-1,-1,2,0^1^2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,13,36,3
0,1372954,2088,2314,6,132,60,3,12,78,23,2,23,6,433,3,25,141,9,2,3,29,-1,-1,1,12,9,4,20,-1,-1,2,0^1^2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,13,47,3
0,1090794,4628,4530,7,177,56,5,17,31,40,4,25,5,331,3,56,141,4,2,2,14,13,3,2,20,8,4,18,-1,-1,10,6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,10,17,3
0,1094583,3140,5830,3,134,55,4,16,65,18,4,29,4,287,2,87,117,4,4,2,43,11,2,2,28,5,4,20,-1,-1,2,2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,11,14,3
0,1898537,2908,2758,7,178,60,5,21,70,39,2,17,5,354,3,29,141,4,2,2,42,-1,-1,1,20,9,3,-1,-1,-1,2,1^2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,13,36,3
0,1093268,3025,5654,7,134,55,4,12,65,18,4,29,6,333,5,52,193,9,2,3,41,11,2,2,17,14,4,20,-1,-1,2,2^3^4^5^6^7^8^9^10^11^12^13^14^15^16^17^18^19^20^21^22^23,12,14,3
